,0,1,2,3,4
0,84356.00718207627,85182.09532845826,93217.88408729373,-1301.6750954684567,83957.34885826036
1,83109.82582154086,83923.83350122298,85943.38521728746,82960.41624753505,83033.83474439482
2,83810.02146179344,83540.86962627473,83253.7748472642,82165.88915546521,83513.56317595016
3,83709.63304370896,82844.98688937687,83349.91233175102,84085.39981105142,83349.76718172869
4,85865.89308288977,83605.44372777309,83680.18611103143,83653.35929481001,83667.23017815097
5,89223.12762040486,-483.77715792741935,84545.40517245047,-1119.8326260126328,85491.2679822767
6,91841.84860682349,86835.63295564757,86406.42566165932,92393.42015743411,88698.67426065313
7,98387.77037614922,88486.55287059711,90240.87915964679,125239.40594012153,102744.07779674862
8,95792.68301847907,89371.68868418821,97220.7289100532,141378.02659523938,91302.25613631072
9,89806.43390749699,92151.57807051945,95851.12841156163,106541.22653017809,96237.53105683267
10,84176.74855685624,85214.1004696458,86845.08442709589,85090.36602820962,84241.98865564796
11,83545.1084085025,-369.6981597089347,84674.8699247246,83639.33503055938,83832.86326318687
12,82575.20432613738,81973.85881935792,84050.03176350707,83591.10613448595,83578.0760326662
13,83399.72293491368,81915.34587827495,83464.42204432205,81931.77679474565,82725.97103229944
14,-458.3388851524336,82568.29761478861,82671.7806752625,83840.0451540699,83407.63960873909
15,0.0,0.0,0.0,0.0,0.0
16,85855.95869633368,85950.15708184802,-492.72478308455237,87166.95672720751,85213.39605439268
17,85591.9849149869,87756.24245276004,85587.55243669283,92366.00653757356,85536.39183013565
18,88439.00634488378,91076.37852201879,85464.43569664947,85672.32393240949,86870.36424514692
19,85251.4167478853,95987.98717763157,88481.35340948729,85970.58584747354,85976.28353840092
20,-371.0388259921754,86580.06757191257,88238.80212790414,84648.16152506103,84966.77088006034
21,0.0,0.0,0.0,0.0,0.0
22,82180.95312889715,85654.78553865656,-362.46260172075597,80824.96981158866,83213.06958272228
23,82119.36197720196,82063.87644863618,80776.88085639686,82914.91331795561,81934.75270295078
24,-334.59800782376794,84361.0754687737,81759.05673433858,83358.38519587328,83143.16775013156
25,0.0,0.0,0.0,0.0,0.0
26,88607.73279787516,84665.64490753991,-409.2401084417438,85209.26467645894,84949.48601580436
27,91834.31844721905,88199.38621703567,85650.60260300906,87706.67888603837,88455.80851394398
28,89091.92240208908,94663.34030254584,88347.29108419165,88820.41205740348,91603.12859747924
29,87260.79311016611,111899.16047492254,90569.1613012037,93692.52882059103,92111.25428488391
30,0.0,0.0,0.0,0.0,0.0
31,87495.46673290811,147829.73739379845,103974.68366765429,-385.9099294318473,100157.5896111405
32,84637.84320783304,-599.2085891868682,90193.84740632746,83568.54834163601,84113.48997704037
33,85955.41317033574,83567.3263305216,82973.85319354312,81661.7285786066,82266.5199397664
34,87210.45642507335,-519.8796702600569,85062.70083586167,83084.12599821699,83276.08602525525
35,88247.04184655006,86411.55518014639,86038.54338997023,-423.1581134398463,86884.01779013973
36,90842.46018262945,85977.39525529063,87247.99574340966,86038.8236472413,85604.55479941779
37,97639.63732046593,86738.17453089789,89181.01413721625,89412.17536148292,89519.89994262613
38,93776.61384136656,123809.2323334331,91613.07084881645,92863.41911311033,98720.14356276066
39,133179.87894307147,98545.70710036202,98147.29534749601,97796.90466432602,98822.11523137183
40,160322.64916909198,162029.50025100852,161219.52558795566,162957.6388888889,160892.0310529103
41,-721.5276014893842,145333.0062637266,161391.94302639907,129408.6921400281,127267.35217145015
42,0.0,0.0,0.0,0.0,0.0
43,-479.3914860360255,87049.79054090957,-578.3518748105977,82171.85173782232,82241.44173007477
44,0.0,0.0,0.0,0.0,0.0
45,89587.99913223929,87190.66405789634,-537.3299818113785,85678.8991125501,86742.77602667113
46,94301.9883796355,88356.69109353483,87615.3628167189,87926.29212723138,89896.50255200126
47,96857.74262352589,92711.43163249982,92648.1235284032,91785.60505540337,91457.53745971344
48,103206.1277146123,151980.6528104259,95059.48590704387,101094.2023062401,118411.67323579337
49,162078.13907988934,125295.57603044735,140050.9861809514,127066.32649110834,133575.12664643832
50,161961.8287049469,-4967.3718749769905,161314.24274892287,162940.27777777828,161353.27572608893
51,128995.71195535877,142391.52620336652,162587.45334181542,136431.85655539433,135266.86894960527
52,92156.76930085485,92747.8569446529,149203.66641157988,-681.3324902506384,94639.51613758883
53,85462.0982598827,85701.27183404056,105313.58264441797,84812.93581505059,85415.73174987527
54,86185.24060861357,85946.21401587939,85597.49330812113,-536.4179649712898,85266.62374261682
55,90711.84254534727,87245.70723277562,86029.39089539563,86020.86322174202,85483.71881484218
56,121682.70547677165,-2341.9221332652783,87779.67860065175,92383.22305437754,96362.39013663384
57,143259.12228540244,101281.18719203622,103521.24228436773,96165.7065537896,104963.82785285884
58,162243.26117163844,133257.8593057947,129267.15055440186,141868.85628410307,132080.2561149177
59,162922.91666668275,161844.56783598984,161611.68018986288,161680.55335003347,162048.03351388843
60,0.0,0.0,0.0,0.0,0.0
61,93009.67930878063,106674.26901243223,-4100.694390204084,149694.04612434638,99834.00657799067
62,85230.13787021623,87633.19025793295,87924.59361724266,116097.09603490094,88041.67791701178
63,86814.69505448986,84817.02896678206,85286.08376841187,84391.25589086638,85038.2042372645
64,89019.51673137459,85166.63649140015,85813.25027237358,85230.21394123795,85414.30667453035
65,-2257.1546701623656,92301.49324265105,86853.961371721,87378.2074673761,87114.10651660398
66,0.0,0.0,0.0,0.0,0.0
67,148540.18395144472,123465.43919932285,-2358.5864647026137,103499.97552568342,101067.56997259097
68,162632.83602997044,149103.25718328718,128727.95702558813,153797.0758085499,147697.9357257423
69,-4960.520896252489,161900.00733497046,161762.8537397918,162905.55555580786,162211.9774578417
70,116604.41641920214,131595.60713215615,162031.89877469034,-4837.647898495103,153308.292195917
71,91405.18844006358,-896.7954240794189,97367.56886963312,126309.54348680469,96378.4269446172
72,85181.85728533623,85930.60884146241,92590.33612663599,85879.7709112256,86497.10877589243
73,85517.32728584914,84489.69878004893,86666.00085677148,84421.61145747469,84609.08271610308
74,93054.45349613723,86943.45113843626,85434.616314262,86053.84888637344,86581.98477565599
75,93365.33827130466,99443.80013032074,90561.27368183555,89402.15054127012,91143.19855111963
76,153266.59377129388,105360.56643416488,93314.32425131199,-2363.568657462851,98070.747690216
77,162534.76211874653,148955.7569958501,135568.28950676028,143005.1581060456,146775.42733608457
78,162870.832471598,162424.71971982502,161370.90145960264,161889.92591494205,162601.1963190817
79,161128.15886858085,161314.89678027979,161920.2173069403,162888.19444698025,162589.08910079263
80,-905.6391532970982,-1451.4011846876906,151696.42151224538,105743.88300913665,97656.50778066063
81,0.0,0.0,0.0,0.0,0.0
82,85511.59182747074,82637.63340960673,-839.4843372280106,86489.79805540261,84723.88128495339
83,87886.31102948716,83390.15924870681,84821.99770045438,84587.03654008087,83378.03990045958
84,97849.00307296359,85772.47445858145,85092.07889976201,89526.72881479886,85687.33992662202
85,153538.41550708396,-1213.000383994793,90843.70139966576,93927.84338297884,93758.2078080602
